2020/11/04 09:07:08 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:10 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:12 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:14 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:16 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:18 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:20 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:22 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:24 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:26 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:28 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:30 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:32 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:34 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:36 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:38 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:40 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
2020/11/04 09:07:42 [error] 7#7: *668 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/json HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/json", host: "localhost", referrer: "http://localhost/login"
